Timestamp_ms,EMG_Value
pe:17.75
Rectified_Signal:29.13,Rectwin_Envelope:19.41,Hanning_Envelope:18.49
Rectified_Signal:15.84,Rectwin_Envelope:19.39,Hanning_Envelope:18.63
Rectified_Signal:5.83,Rectwin_Envelope:19.25,Hanning_Envelope:18.78
Rectified_Signal:33.11,Rectwin_Envelope:18.97,Hanning_Envelope:18.93
Rectified_Signal:27.05,Rectwin_Envelope:18.80,Hanning_Envelope:19.10
Rectified_Signal:1.94,Rectwin_Envelope:18.81,Hanning_Envelope:19.26
Rectified_Signal:2.05,Rectwin_Envelope:18.42,Hanning_Envelope:19.42
Rectified_Signal:20.91,Rectwin_Envelope:18.17,Hanning_Envelope:19.57
Rectified_Signal:22.86,Rectwin_Envelope:18.02,Hanning_Envelope:19.69
Rectified_Signal:22.10,Rectwin_Envelope:18.03,Hanning_Envelope:19.80
Rectified_Signal:48.00,Rectwin_Envelope:18.01,Hanning_Envelope:19.89
Rectified_Signal:15.97,Rectwin_Envelope:18.09,Hanning_Envelope:19.95
Rectified_Signal:6.95,Rectwin_Envelope:18.11,Hanning_Envelope:19.98
Rectified_Signal:22.00,Rectwin_Envelope:18.52,Hanning_Envelope:19.99
Rectified_Signal:4.99,Rectwin_Envelope:18.55,Hanning_Envelope:19.96
Rectified_Signal:5.00,Rectwin_Envelope:18.62,Hanning_Envelope:19.91
Rectified_Signal:4.99,Rectwin_Envelope:18.57,Hanning_Envelope:19.83
Rectified_Signal:18.97,Rectwin_Envelope:18.50,Hanning_Envelope:19.73
Rectified_Signal:14.94,Rectwin_Envelope:18.75,Hanning_Envelope:19.62
Rectified_Signal:47.96,Rectwin_Envelope:19.68,Hanning_Envelope:19.49
Rectified_Signal:31.90,Rectwin_Envelope:19.45,Hanning_Envelope:19.33
Rectified_Signal:1.90,Rectwin_Envelope:19.15,Hanning_Envelope:19.19
Rectified_Signal:29.84,Rectwin_Envelope:19.46,Hanning_Envelope:19.06
Rectified_Signal:4.83,Rectwin_Envelope:19.13,Hanning_Envelope:18.92
Rectified_Signal:10.15,Rectwin_Envelope:19.00,Hanning_Envelope:18.80
Rectified_Signal:19.11,Rectwin_Envelope:18.95,Hanning_Envelope:18.67
Rectified_Signal:21.84,Rectwin_Envelope:18.72,Hanning_Envelope:18.55
Rectified_Signal:40.76,Rectwin_Envelope:18.77,Hanning_Envelope:18.44
Rectified_Signal:19.20,Rectwin_Envelope:18.88,Hanning_Envelope:18.34
Rectified_Signal:7.19,Rectwin_Envelope:18.92,Hanning_Envelope:18.25
Rectified_Signal:9.17,Rectwin_Envelope:18.81,Hanning_Envelope:18.16
Rectified_Signal:15.14,Rectwin_Envelope:18.94,Hanning_Envelope:18.08
Rectified_Signal:9.84,Rectwin_Envelope:18.99,Hanning_Envelope:18.01
Rectified_Signal:34.77,Rectwin_Envelope:19.06,Hanning_Envelope:17.96
Rectified_Signal:30.17,Rectwin_Envelope:19.37,Hanning_Envelope:17.92
Rectified_Signal:16.13,Rectwin_Envelope:19.16,Hanning_Envelope:17.89
Rectified_Signal:26.81,Rectwin_Envelope:18.73,Hanning_Envelope:17.89
Rectified_Signal:17.78,Rectwin_Envelope:18.46,Hanning_Envelope:17.92
Rectified_Signal:2.77,Rectwin_Envelope:18.42,Hanning_Envelope:17.96
Rectified_Signal:13.75,Rectwin_Envelope:18.19,Hanning_Envelope:18.00
Rectified_Signal:33.19,Rectwin_Envelope:18.56,Hanning_Envelope:18.06
Rectified_Signal:16.16,Rectwin_Envelope:18.63,Hanning_Envelope:18.11
Rectified_Signal:40.76,Rectwin_Envelope:18.82,Hanning_Envelope:18.17
Rectified_Signal:21.72,Rectwin_Envelope:18.39,Hanning_Envelope:18.24
Rectified_Signal:16.25,Rectwin_Envelope:18.40,Hanning_Envelope:18.32
Rectified_Signal:11.23,Rectwin_Envelope:18.19,Hanning_Envelope:18.41
Rectified_Signal:14.74,Rectwin_Envelope:18.35,Hanning_Envelope:18.49
Rectified_Signal:3.25,Rectwin_Envelope:18.24,Hanning_Envelope:18.57
Rectified_Signal:13.72,Rectwin_Envelope:18.50,Hanning_Envelope:18.65
Rectified_Signal:28.67,Rectwin_Envelope:18.67,Hanning_Envelope:18.71
Rectified_Signal:31.60,Rectwin_Envelope:18.72,Hanning_Envelope:18.77
Rectified_Signal:26.34,Rectwin_Envelope:18.93,Hanning_Envelope:18.83
Rectified_Signal:17.31,Rectwin_Envelope:19.16,Hanning_Envelope:18.89
Rectified_Signal:48.59,Rectwin_Envelope:19.47,Hanning_Envelope:18.96
Rectified_Signal:34.52,Rectwin_Envelope:19.61,Hanning_Envelope:19.02
Rectified_Signal:14.50,Rectwin_Envelope:19.87,Hanning_Envelope:19.10
Rectified_Signal:10.47,Rectwin_Envelope:20.03,Hanning_Envelope:19.19
Rectified_Signal:5.51,Rectwin_Envelope:19.73,Hanning_Envelope:19.27
Rectified_Signal:28.46,Rectwin_Envelope:19.84,Hanning_Envelope:19.38
Rectified_Signal:40.46,Rectwin_Envelope:20.21,Hanning_Envelope:19.48
Rectified_Signal:38.39,Rectwin_Envelope:20.01,Hanning_Envelope:19.59
Rectified_Signal:1.38,Rectwin_Envelope:19.72,Hanning_Envelope:19.72
Rectified_Signal:6.60,Rectwin_Envelope:19.71,Hanning_Envelope:19.85
Rectified_Signal:6.38,Rectwin_Envelope:19.40,Hanning_Envelope:19.98
Rectified_Signal:0.62,Rectwin_Envelope:19.31,Hanning_Envelope:20.10
Rectified_Signal:15.35,Rectwin_Envelope:19.52,Hanning_Envelope:20.21
Rectified_Signal:16.32,Rectwin_Envelope:19.75,Hanning_Envelope:20.30
Rectified_Signal:19.64,Rectwin_Envelope:19.76,Hanning_Envelope:20.38
Rectified_Signal:23.59,Rectwin_Envelope:19.93,Hanning_Envelope:20.44
Rectified_Signal:40.33,Rectwin_Envelope:19.78,Hanning_Envelope:20.50
Rectified_Signal:36.25,Rectwin_Envelope:19.87,Hanning_Envelope:20.55
Rectified_Signal:1.74,Rectwin_Envelope:19.87,Hanning_Envelope:20.59
Rectified_Signal:33.19,Rectwin_Envelope:19.93,Hanning_Envelope:20.62
Rectified_Signal:18.77,Rectwin_Envelope:20.21,Hanning_Envelope:20.64
Rectified_Signal:6.76,Rectwin_Envelope:20.14,Hanning_Envelope:20.65
Rectified_Signal:16.21,Rectwin_Envelope:20.09,Hanning_Envelope:20.65
Rectified_Signal:29.15,Rectwin_Envelope:20.23,Hanning_Envelope:20.64
Rectified_Signal:10.83,Rectwin_Envelope:19.63,Hanning_Envelope:20.62
Rectified_Signal:1.82,Rectwin_Envelope:19.29,Hanning_Envelope:20.60
Rectified_Signal:4.17,Rectwin_Envelope:19.23,Hanning_Envelope:20.56
Rectified_Signal:4.16,Rectwin_Envelope:19.13,Hanning_Envelope:20.50
Rectified_Signal:16.80,Rectwin_Envelope:19.16,Hanning_Envelope:20.42
Rectified_Signal:4.80,Rectwin_Envelope:19.06,Hanning_Envelope:20.31
Rectified_Signal:22.16,Rectwin_Envelope:18.81,Hanning_Envelope:20.18
Rectified_Signal:13.81,Rectwin_Envelope:18.48,Hanning_Envelope:20.04
Rectified_Signal:18.77,Rectwin_Envelope:18.53,Hanning_Envelope:19.88
Rectified_Signal:46.13,Rectwin_Envelope:18.92,Hanning_Envelope:19.70
Rectified_Signal:25.08,Rectwin_Envelope:19.06,Hanning_Envelope:19.51
Rectified_Signal:5.90,Rectwin_Envelope:19.13,Hanning_Envelope:19.31
Rectified_Signal:3.90,Rectwin_Envelope:18.93,Hanning_Envelope:19.10
Rectified_Signal:2.89,Rectwin_Envelope:18.32,Hanning_Envelope:18.89
Rectified_Signal:14.86,Rectwin_Envelope:18.30,Hanning_Envelope:18.68
Rectified_Signal:21.10,Rectwin_Envelope:17.90,Hanning_Envelope:18.46
Rectified_Signal:44.01,Rectwin_Envelope:18.35,Hanning_Envelope:18.24
Rectified_Signal:5.98,Rectwin_Envelope:18.14,Hanning_Envelope:18.02
Rectified_Signal:5.97,Rectwin_Envelope:18.04,Hanning_Envelope:17.81
Rectified_Signal:18.00,Rectwin_Envelope:18.10,Hanning_Envelope:17.60
Rectified_Signal:14.97,Rectwin_Envelope:18.34,Hanning_Envelope:17.40
Rectified_Signal:12.94,Rectwin_Envelope:18.32,Hanning_Envelope:17.20
Rectified_Signal:14.91,Rectwin_Envelope:18.05,Hanning_Envelope:17.02
Rectified_Signal:13.06,Rectwin_Envelope:17.68,Hanning_Envelope:16.85
Rectified_Signal:8.05,Rectwin_Envelope:17.31,Hanning_Envelope:16.71
Rectified_Signal:31.89,Rectwin_Envelope:17.60,Hanning_Envelope:16.59
Rectified_Signal:33.82,Rectwin_Envelope:17.31,Hanning_Envelope:16.47
Rectified_Signal:37.75,Rectwin_Envelope:17.37,Hanning_Envelope:16.38
Rectified_Signal:2.25,Rectwin_Envelope:17.13,Hanning_Envelope:16.30
Rectified_Signal:14.72,Rectwin_Envelope:17.21,Hanning_Envelope:16.25
Rectified_Signal:34.21,Rectwin_Envelope:17.79,Hanning_Envelope:16.21
Rectified_Signal:27.15,Rectwin_Envelope:17.76,Hanning_Envelope:16.18
Rectified_Signal:31.78,Rectwin_Envelope:17.59,Hanning_Envelope:16.18
Rectified_Signal:31.72,Rectwin_Envelope:17.45,Hanning_Envelope:16.20
Rectified_Signal:13.25,Rectwin_Envelope:17.69,Hanning_Envelope:16.26
Rectified_Signal:7.73,Rectwin_Envelope:17.71,Hanning_Envelope:16.33
Rectified_Signal:3.72,Rectwin_Envelope:17.66,Hanning_Envelope:16.42
Rectified_Signal:0.72,Rectwin_Envelope:17.66,Hanning_Envelope:16.52
Rectified_Signal:10.70,Rectwin_Envelope:17.57,Hanning_Envelope:16.64
Rectified_Signal:23.65,Rectwin_Envelope:17.72,Hanning_Envelope:16.77
Rectified_Signal:17.31,Rectwin_Envelope:17.67,Hanning_Envelope:16.91
Rectified_Signal:15.28,Rectwin_Envelope:17.50,Hanning_Envelope:17.07
Rectified_Signal:25.67,Rectwin_Envelope:17.21,Hanning_Envelope:17.23
Rectified_Signal:19.63,Rectwin_Envelope:16.88,Hanning_Envelope:17.40
Rectified_Signal:4.36,Rectwin_Envelope:16.93,Hanning_Envelope:17.57
Rectified_Signal:14.61,Rectwin_Envelope:16.56,Hanning_Envelope:17.73
Rectified_Signal:18.36,Rectwin_Envelope:16.55,Hanning_Envelope:17.88
Rectified_Signal:18.32,Rectwin_Envelope:16.78,Hanning_Envelope:18.01
Rectified_Signal:23.63,Rectwin_Envelope:16.93,Hanning_Envelope:18.12
Rectified_Signal:40.55,Rectwin_Envelope:17.16,Hanning_Envelope:18.21
Rectified_Signal:4.44,Rectwin_Envelope:17.03,Hanning_Envelope:18.27
Rectified_Signal:13.41,Rectwin_Envelope:17.26,Hanning_Envelope:18.33
Rectified_Signal:15.56,Rectwin_Envelope:17.49,Hanning_Envelope:18.36
Rectified_Signal:11.42,Rectwin_Envelope:17.63,Hanning_Envelope:18.38
Rectified_Signal:13.39,Rectwin_Envelope:17.57,Hanning_Envelope:18.37
Rectified_Signal:1.60,Rectwin_Envelope:17.50,Hanning_Envelope:18.36
Rectified_Signal:4.59,Rectwin_Envelope:17.15,Hanning_Envelope:18.32
Rectified_Signal:23.36,Rectwin_Envelope:17.34,Hanning_Envelope:18.28
Rectified_Signal:17.32,Rectwin_Envelope:17.31,Hanning_Envelope:18.22
Rectified_Signal:35.60,Rectwin_Envelope:17.10,Hanning_Envelope:18.14
Rectified_Signal:14.58,Rectwin_Envelope:16.89,Hanning_Envelope:18.05
Rectified_Signal:10.40,Rectwin_Envelope:16.98,Hanning_Envelope:17.96
Rectified_Signal:3.59,Rectwin_Envelope:16.98,Hanning_Envelope:17.84
Rectified_Signal:27.36,Rectwin_Envelope:17.47,Hanning_Envelope:17.72
Rectified_Signal:24.31,Rectwin_Envelope:17.65,Hanning_Envelope:17.58
Rectified_Signal:33.63,Rectwin_Envelope:17.90,Hanning_Envelope:17.43
Rectified_Signal:21.58,Rectwin_Envelope:17.46,Hanning_Envelope:17.29
Rectified_Signal:12.39,Rectwin_Envelope:17.58,Hanning_Envelope:17.17
Rectified_Signal:27.34,Rectwin_Envelope:18.01,Hanning_Envelope:17.05
Rectified_Signal:19.62,Rectwin_Envelope:18.04,Hanning_Envelope:16.93
Rectified_Signal:5.61,Rectwin_Envelope:17.86,Hanning_Envelope:16.83
Rectified_Signal:16.58,Rectwin_Envelope:17.93,Hanning_Envelope:16.76
Rectified_Signal:26.53,Rectwin_Envelope:18.16,Hanning_Envelope:16.69
Rectified_Signal:17.44,Rectwin_Envelope:18.25,Hanning_Envelope:16.64
Rectified_Signal:22.39,Rectwin_Envelope:18.54,Hanning_Envelope:16.62
Rectified_Signal:24.56,Rectwin_Envelope:18.39,Hanning_Envelope:16.62
Rectified_Signal:25.51,Rectwin_Envelope:18.22,Hanning_Envelope:16.65
Rectified_Signal:23.45,Rectwin_Envelope:17.94,Hanning_Envelope:16.71
Rectified_Signal:9.53,Rectwin_Envelope:18.08,Hanning_Envelope:16.80
Rectified_Signal:28.41,Rectwin_Envelope:18.36,Hanning_Envelope:16.90
Rectified_Signal:11.39,Rectwin_Envelope:17.90,Hanning_Envelope:17.02
Rectified_Signal:33.55,Rectwin_Envelope:18.03,Hanning_Envelope:17.16
Rectified_Signal:30.49,Rectwin_Envelope:18.00,Hanning_Envelope:17.32
Rectified_Signal:16.48,Rectwin_Envelope:17.70,Hanning_Envelope:17.48
Rectified_Signal:4.47,Rectwin_Envelope:17.52,Hanning_Envelope:17.67
Rectified_Signal:1.47,Rectwin_Envelope:17.40,Hanning_Envelope:17.85
Rectified_Signal:4.52,Rectwin_Envelope:17.41,Hanning_Envelope:18.02
Rectified_Signal:4.47,Rectwin_Envelope:17.49,Hanning_Envelope:18.18
Rectified_Signal:5.46,Rectwin_Envelope:17.38,Hanning_Envelope:18.32
Rectified_Signal:3.54,Rectwin_Envelope:16.98,Hanning_Envelope:18.45
Rectified_Signal:26.41,Rectwin_Envelope:17.16,Hanning_Envelope:18.56
Rectified_Signal:15.38,Rectwin_Envelope:17.16,Hanning_Envelope:18.64
Rectified_Signal:19.58,Rectwin_Envelope:17.04,Hanning_Envelope:18.71
Rectified_Signal:39.50,Rectwin_Envelope:17.44,Hanning_Envelope:18.75
Rectified_Signal:3.49,Rectwin_Envelope:17.42,Hanning_Envelope:18.77
Rectified_Signal:1.51,Rectwin_Envelope:17.16,Hanning_Envelope:18.76
Rectified_Signal:6.48,Rectwin_Envelope:16.92,Hanning_Envelope:18.73
Rectified_Signal:2.51,Rectwin_Envelope:16.61,Hanning_Envelope:18.68
Rectified_Signal:39.43,Rectwin_Envelope:16.92,Hanning_Envelope:18.60
Rectified_Signal:27.38,Rectwin_Envelope:16.66,Hanning_Envelope:18.49
Rectified_Signal:26.57,Rectwin_Envelope:17.10,Hanning_Envelope:18.37
Rectified_Signal:17.53,Rectwin_Envelope:17.19,Hanning_Envelope:18.21
Rectified_Signal:22.42,Rectwin_Envelope:17.32,Hanning_Envelope:18.04
Rectified_Signal:14.40,Rectwin_Envelope:17.38,Hanning_Envelope:17.86
Rectified_Signal:7.38,Rectwin_Envelope:17.26,Hanning_Envelope:17.67
Rectified_Signal:18.34,Rectwin_Envelope:17.60,Hanning_Envelope:17.48
Rectified_Signal:11.63,Rectwin_Envelope:17.74,Hanning_Envelope:17.27
Rectified_Signal:19.59,Rectwin_Envelope:17.66,Hanning_Envelope:17.07
Rectified_Signal:43.32,Rectwin_Envelope:18.18,Hanning_Envelope:16.89
Rectified_Signal:41.24,Rectwin_Envelope:18.29,Hanning_Envelope:16.71
Rectified_Signal:28.18,Rectwin_Envelope:18.57,Hanning_Envelope:16.56
Rectified_Signal:0.18,Rectwin_Envelope:18.36,Hanning_Envelope:16.44
Rectified_Signal:23.13,Rectwin_Envelope:18.75,Hanning_Envelope:16.35
Rectified_Signal:16.83,Rectwin_Envelope:18.54,Hanning_Envelope:16.29
Rectified_Signal:11.81,Rectwin_Envelope:18.29,Hanning_Envelope:16.26
Rectified_Signal:31.13,Rectwin_Envelope:18.24,Hanning_Envelope:16.28
Rectified_Signal:58.01,Rectwin_Envelope:18.97,Hanning_Envelope:16.32
Rectified_Signal:17.95,Rectwin_Envelope:19.08,Hanning_Envelope:16.40
Rectified_Signal:12.92,Rectwin_Envelope:18.79,Hanning_Envelope:16.52
Rectified_Signal:11.05,Rectwin_Envelope:18.62,Hanning_Envelope:16.68
Rectified_Signal:2.05,Rectwin_Envelope:18.55,Hanning_Envelope:16.87
Rectified_Signal:3.04,Rectwin_Envelope:18.28,Hanning_Envelope:17.08
Rectified_Signal:19.01,Rectwin_Envelope:18.13,Hanning_Envelope:17.31
Rectified_Signal:17.96,Rectwin_Envelope:18.14,Hanning_Envelope:17.56
Rectified_Signal:6.94,Rectwin_Envelope:17.83,Hanning_Envelope:17.81
Rectified_Signal:30.99,Rectwin_Envelope:17.96,Hanning_Envelope:18.07
Rectified_Signal:38.92,Rectwin_Envelope:18.23,Hanning_Envelope:18.33
Rectified_Signal:17.05,Rectwin_Envelope:18.10,Hanning_Envelope:18.59
Rectified_Signal:6.94,Rectwin_Envelope:18.05,Hanning_Envelope:18.84
Rectified_Signal:18.03,Rectwin_Envelope:17.84,Hanning_Envelope:19.08
Rectified_Signal:1.03,Rectwin_Envelope:17.63,Hanning_Envelope:19.30
Rectified_Signal:21.93,Rectwin_Envelope:17.40,Hanning_Envelope:19.50
Rectified_Signal:28.87,Rectwin_Envelope:17.37,Hanning_Envelope:19.67
Rectified_Signal:20.09,Rectwin_Envelope:17.44,Hanning_Envelope:19.82
Rectified_Signal:24.04,Rectwin_Envelope:17.83,Hanning_Envelope:19.92
Rectified_Signal:23.91,Rectwin_Envelope:18.28,Hanning_Envelope:19.99
Rectified_Signal:2.08,Rectwin_Envelope:18.23,Hanning_Envelope:20.03
Rectified_Signal:4.91,Rectwin_Envelope:18.24,Hanning_Envelope:20.03
Rectified_Signal:2.90,Rectwin_Envelope:18.19,Hanning_Envelope:20.00
Rectified_Signal:20.86,Rectwin_Envelope:18.54,Hanning_Envelope:19.95
Rectified_Signal:18.10,Rectwin_Envelope:18.37,Hanning_Envelope:19.86
Rectified_Signal:7.09,Rectwin_Envelope:18.21,Hanning_Envelope:19.75
Rectified_Signal:36.84,Rectwin_Envelope:18.55,Hanning_Envelope:19.63
Rectified_Signal:16.80,Rectwin_Envelope:18.10,Hanning_Envelope:19.47
Rectified_Signal:13.78,Rectwin_Envelope:18.30,Hanning_Envelope:19.31
Rectified_Signal:6.21,Rectwin_Envelope:18.40,Hanning_Envelope:19.13
Rectified_Signal:24.16,Rectwin_Envelope:18.75,Hanning_Envelope:18.94
Rectified_Signal:5.15,Rectwin_Envelope:18.80,Hanning_Envelope:18.73
Rectified_Signal:19.81,Rectwin_Envelope:18.41,Hanning_Envelope:18.52
Rectified_Signal:38.73,Rectwin_Envelope:18.64,Hanning_Envelope:18.32
Rectified_Signal:2.27,Rectwin_Envelope:18.15,Hanning_Envelope:18.11
Rectified_Signal:6.25,Rectwin_Envelope:17.93,Hanning_Envelope:17.92
Rectified_Signal:26.69,Rectwin_Envelope:18.01,Hanning_Envelope:17.73
Rectified_Signal:3.30,Rectwin_Envelope:17.79,Hanning_Envelope:17.55
Rectified_Signal:13.67,Rectwin_Envelope:17.91,Hanning_Envelope:17.37
Rectified_Signal:10.65,Rectwin_Envelope:17.76,Hanning_Envelope:17.19
Rectified_Signal:29.29,Rectwin_Envelope:18.11,Hanning_Envelope:17.03
Rectified_Signal:8.27,Rectwin_Envelope:17.89,Hanning_Envelope:16.87
Rectified_Signal:23.68,Rectwin_Envelope:17.49,Hanning_Envelope:16.73
Rectified_Signal:45.59,Rectwin_Envelope:17.58,Hanning_Envelope:16.62
Rectified_Signal:1.41,Rectwin_Envelope:17.05,Hanning_Envelope:16.52
Rectified_Signal:6.58,Rectwin_Envelope:17.17,Hanning_Envelope:16.44
Rectified_Signal:13.55,Rectwin_Envelope:16.98,Hanning_Envelope:16.37
Rectified_Signal:31.39,Rectwin_Envelope:17.27,Hanning_Envelope:16.31
Rectified_Signal:17.35,Rectwin_Envelope:17.38,Hanning_Envelope:16.26
Rectified_Signal:30.59,Rectwin_Envelope:17.37,Hanning_Envelope:16.23
Rectified_Signal:38.51,Rectwin_Envelope:16.98,Hanning_Envelope:16.21
Rectified_Signal:2.48,Rectwin_Envelope:16.67,Hanning_Envelope:16.22
Rectified_Signal:4.51,Rectwin_Envelope:16.51,Hanning_Envelope:16.24
Rectified_Signal:6.49,Rectwin_Envelope:16.41,Hanning_Envelope:16.27
Rectified_Signal:4.50,Rectwin_Envelope:16.46,Hanning_Envelope:16.30
Rectified_Signal:13.48,Rectwin_Envelope:16.67,Hanning_Envelope:16.33
Rectified_Signal:18.44,Rectwin_Envelope:16.66,Hanning_Envelope:16.36
Rectified_Signal:21.52,Rectwin_Envelope:16.73,Hanning_Envelope:16.39
Rectified_Signal:12.49,Rectwin_Envelope:16.84,Hanning_Envelope:16.43
Rectified_Signal:43.42,Rectwin_Envelope:17.09,Hanning_Envelope:16.47
Rectified_Signal:31.36,Rectwin_Envelope:16.94,Hanning_Envelope:16.52
Rectified_Signal:29.58,Rectwin_Envelope:17.19,Hanning_Envelope:16.58
Rectified_Signal:3.57,Rectwin_Envelope:17.12,Hanning_Envelope:16.65
Rectified_Signal:15.54,Rectwin_Envelope:17.07,Hanning_Envelope:16.73
Rectified_Signal:13.52,Rectwin_Envelope:17.32,Hanning_Envelope:16.82
Rectified_Signal:14.46,Rectwin_Envelope:17.17,Hanning_Envelope:16.90
Rectified_Signal:30.39,Rectwin_Envelope:17.21,Hanning_Envelope:16.99
Rectified_Signal:5.59,Rectwin_Envelope:16.92,Hanning_Envelope:17.09
Rectified_Signal:6.58,Rectwin_Envelope:16.57,Hanning_Envelope:17.18
Rectified_Signal:13.39,Rectwin_Envelope:16.36,Hanning_Envelope:17.28
Rectified_Signal:11.37,Rectwin_Envelope:16.54,Hanning_Envelope:17.36
Rectified_Signal:0.63,Rectwin_Envelope:16.46,Hanning_Envelope:17.43
Rectified_Signal:13.34,Rectwin_Envelope:16.66,Hanning_Envelope:17.48
Rectified_Signal:20.30,Rectwin_Envelope:16.65,Hanning_Envelope:17.51
Rectified_Signal:20.65,Rectwin_Envelope:16.70,Hanning_Envelope:17.52
Rectified_Signal:2.65,Rectwin_Envelope:16.62,Hanning_Envelope:17.53
Rectified_Signal:35.28,Rectwin_Envelope:16.58,Hanning_Envelope:17.52
Rectified_Signal:24.23,Rectwin_Envelope:16.73,Hanning_Envelope:17.50
Rectified_Signal:7.75,Rectwin_Envelope:16.61,Hanning_Envelope:17.47
Rectified_Signal:19.21,Rectwin_Envelope:16.87,Hanning_Envelope:17.43
Rectified_Signal:7.78,Rectwin_Envelope:16.55,Hanning_Envelope:17.37
Rectified_Signal:0.77,Rectwin_Envelope:16.46,Hanning_Envelope:17.30
Rectified_Signal:28.17,Rectwin_Envelope:16.62,Hanning_Envelope:17.22
Rectified_Signal:47.08,Rectwin_Envelope:16.79,Hanning_Envelope:17.13
Rectified_Signal:6.06,Rectwin_Envelope:16.87,Hanning_Envelope:17.04
Rectified_Signal:13.04,Rectwin_Envelope:17.00,Hanning_Envelope:16.94
Rectified_Signal:8.02,Rectwin_Envelope:16.63,Hanning_Envelope:16.84
Rectified_Signal:13.00,Rectwin_Envelope:16.82,Hanning_Envelope:16.74
Rectified_Signal:27.94,Rectwin_Envelope:17.11,Hanning_Envelope:16.65
Rectified_Signal:18.90,Rectwin_Envelope:17.27,Hanning_Envelope:16.55
Rectified_Signal:29.04,Rectwin_Envelope:17.27,Hanning_Envelope:16.45
Rectified_Signal:6.03,Rectwin_Envelope:17.22,Hanning_Envelope:16.38
Rectified_Signal:30.91,Rectwin_Envelope:17.37,Hanning_Envelope:16.32
Rectified_Signal:18.87,Rectwin_Envelope:16.83,Hanning_Envelope:16.26
Rectified_Signal:4.12,Rectwin_Envelope:16.89,Hanning_Envelope:16.24
Rectified_Signal:2.11,Rectwin_Envelope:16.80,Hanning_Envelope:16.22
Rectified_Signal:20.07,Rectwin_Envelope:16.93,Hanning_Envelope:16.20
Rectified_Signal:24.03,Rectwin_Envelope:16.78,Hanning_Envelope:16.20
Rectified_Signal:12.95,Rectwin_Envelope:16.69,Hanning_Envelope:16.20
Rectified_Signal:39.87,Rectwin_Envelope:16.88,Hanning_Envelope:16.22
Rectified_Signal:22.82,Rectwin_Envelope:16.57,Hanning_Envelope:16.25
Rectified_Signal:13.15,Rectwin_Envelope:16.78,Hanning_Envelope:16.29
Rectified_Signal:3.14,Rectwin_Envelope:16.75,Hanning_Envelope:16.33
Rectified_Signal:3.14,Rectwin_Envelope:16.69,Hanning_Envelope:16.38
Rectified_Signal:17.10,Rectwin_Envelope:16.94,Hanning_Envelope:16.44
Rectified_Signal:18.07,Rectwin_Envelope:17.03,Hanning_Envelope:16.49
Rectified_Signal:9.91,Rectwin_Envelope:16.86,Hanning_Envelope:16.55
Rectified_Signal:1.91,Rectwin_Envelope:16.47,Hanning_Envelope:16.61
Rectified_Signal:12.88,Rectwin_Envelope:16.47,Hanning_Envelope:16.68
Rectified_Signal:44.79,Rectwin_Envelope:16.50,Hanning_Envelope:16.74
Rectified_Signal:24.74,Rectwin_Envelope:16.37,Hanning_Envelope:16.80
Rectified_Signal:16.22,Rectwin_Envelope:16.10,Hanning_Envelope:16.86
Rectified_Signal:3.22,Rectwin_Envelope:16.10,Hanning_Envelope:16.92
Rectified_Signal:48.12,Rectwin_Envelope:16.75,Hanning_Envelope:16.97
Rectified_Signal:9.10,Rectwin_Envelope:16.66,Hanning_Envelope:17.00
Rectified_Signal:22.85,Rectwin_Envelope:16.83,Hanning_Envelope:17.04
Rectified_Signal:39.77,Rectwin_Envelope:17.01,Hanning_Envelope:17.06
Rectified_Signal:3.22,Rectwin_Envelope:16.97,Hanning_Envelope:17.08
Rectified_Signal:0.22,Rectwin_Envelope:16.84,Hanning_Envelope:17.11
Rectified_Signal:12.76,Rectwin_Envelope:16.83,Hanning_Envelope:17.12
Rectified_Signal:5.23,Rectwin_Envelope:16.70,Hanning_Envelope:17.13
Rectified_Signal:12.74,Rectwin_Envelope:16.95,Hanning_Envelope:17.14
Rectified_Signal:21.70,Rectwin_Envelope:17.11,Hanning_Envelope:17.14
Rectified_Signal:10.28,Rectwin_Envelope:16.91,Hanning_Envelope:17.12
Rectified_Signal:3.28,Rectwin_Envelope:16.57,Hanning_Envelope:17.11
Rectified_Signal:3.27,Rectwin_Envelope:16.58,Hanning_Envelope:17.10
Rectified_Signal:29.67,Rectwin_Envelope:16.47,Hanning_Envelope:17.07
Rectified_Signal:17.64,Rectwin_Envelope:16.33,Hanning_Envelope:17.04
Rectified_Signal:3.63,Rectwin_Envelope:16.25,Hanning_Envelope:17.00
Rectified_Signal:15.60,Rectwin_Envelope:16.18,Hanning_Envelope:16.95
Rectified_Signal:12.38,Rectwin_Envelope:16.27,Hanning_Envelope:16.89
Rectified_Signal:20.34,Rectwin_Envelope:16.66,Hanning_Envelope:16.82
Rectified_Signal:21.62,Rectwin_Envelope:16.53,Hanning_Envelope:16.74
Rectified_Signal:25.57,Rectwin_Envelope:16.10,Hanning_Envelope:16.65
Rectified_Signal:18.39,Rectwin_Envelope:16.35,Hanning_Envelope:16.58
Rectified_Signal:12.37,Rectwin_Envelope:16.33,Hanning_Envelope:16.49
Rectified_Signal:5.62,Rectwin_Envelope:16.29,Hanning_Envelope:16.40
Rectified_Signal:16.35,Rectwin_Envelope:16.35,Hanning_Envelope:16.31
Rectified_Signal:5.64,Rectwin_Envelope:15.91,Hanning_Envelope:16.21
